English,ASL Gloss
I like to learn about a building's history,BUILDING HISTORY LEARN ABOUT ME LIKE
I have many good ideas for your birthday party,YOUR BIRTHDAY PARTY MANY GOOD IDEAS ME HAVE
My office just hired a new interpreter,NEW INTERPRETER MY OFFICE RECENTLY HIRE
My neighbor is lazy he never mows the lawn,MY NEIGHBOR LAZY WHY MOW LAWN NEVER
I go to the library,LIBRARY ME GO-TO
Two cats are better so they don't get lonely,TWO CATS BETTER WHY NOT BECOME LONELY
Don't forget to put your name on the paper,PAPER YOUR NAME WRITE NOT FORGET
When I was young I delivered the newspaper every morning,WHEN ME YOUNG EVERY MORNING NEWSPAPER ME DELIVER
I wanted to buy a ticket for the game but they had none left,BUY TICKET FOR GAME ME WANT BUT NONE LEFT
I'm doing nothing this weekend,NOW WEEKEND ME DO-DO NOTHING
The school nurse is always busy,SCHOOL NURSE ALWAYS BUSY
XXXXX business plan is top secret,XXXXX THEIR BUSINESS PLAN SECRET
My favorite kind of popcorn is XXXXX,MY FAVORITE KIND POPCORN WHICH XXXXX
My dog is always in trouble,TROUBLE MY DOG ALWAYS
I think it is supposed to rain all week,ALL WEEK SUPPOSED-TO RAIN ME THINK
I enjoy reading children's picture books,CHILDREN PICTURE BOOKS READ ME ENJOY
I roller skated a lot when I was young,WHEN ME YOUNG ME ROLLER SKATED A LOT
Please write in complete sentences,COMPLETE SENTENCE WRITE PLEASE
I just bought a new shirt,NEW SHIRT ME RECENTLY BUY
My grandfather is a silly man,MY GRANDFATHER SILLY MAN
I love watching XXXXX every Saturday,EVERY SATURDAY XXXXX WATCH ME LOVE
I support the work of the Red Cross,RED CROSS THEIR WORK ME SUPPORT
XXXXX is a Deaf American teacher poet advocate and author,XXXXX HERSELF DEAF AMERICAN TEACHER POET ADVOCATE AUTHOR
Thank you for the nice gift,THANK YOU NICE GIFT
My favorite time to swim is 8 in the morning,MY FAVORITE TIME SWIM WHEN 8 MORNING
We have to practice together for our dance competition,OUR DANCE COMPETITION PRACTICE TOGETHER WE SHOULD
I like to play the drums as loudly as I can,DRUMS PLAY LOUD ME LIKE
I like to take the train to Chicago,GO-TO CHICAGO HOW TRAIN PREFER ME
I visited Gallaudet University two years ago,2 YEARS AGO GALLAUDET UNIVERSITY ME VISIT
I have to work today,TIME 1 PM ME DO-DO GO WORK
You need to take a bath,BATH NEED YOU
I got good books from the library,ME GO LIBRARY GET WHAT GOOD BOOKS
I need to buy new comfortable shoes before I go to Disney World,NEW COMFORTABLE SHOES NEED BUY ME WHY DISNEY WORLD GO-TO WILL I
My aunt makes the best cakes,BEST CAKES MAKE WHO MY AUNT
M&M's are my favorite kind of candy,MY FAVORITE CANDY WHAT M-M
I need to buy a new car soon,SOON NEW CAR BUY ME NEED
Do you like chocolate ice cream,CHOCOLATE ICE CREAM YOU LIKE
I want to cook a dinner for you,COOK DINNER FOR YOU ME WANT
I love to make and eat chocolate XXXXX cookies,CHOCOLATE XXXXX COOKIES BAKE EAT ME ENJOY
I have a dentist appointment tomorrow,TOMORROW DENTIST APPOINTMENT ME HAVE
Your room is dirty please clean it,YOUR ROOM DIRTY CLEAN PLEASE
Please give the book to the librarian,LIBRARIAN BOOK GIVE-TO PLEASE
I like to drink a big glass of milk after exercising,FINISH EXERCISE MILK BIG GLASS DRINK ME LIKE
I am taking a XXXXX class on Monday,MONDAY XXXXX CLASS ME TAKE
What are you doing tomorrow night,TOMORROW NIGHT YOU DO-DO
My grandma bakes an apple pie every year for my birthday,EVERY YEAR MY BIRTHDAY APPLE PIE MY GRANDMA BAKE
My uncle is very good at telling tales of his life on the farm,TALES MY UNCLE GOOD ABOUT WHAT GROW UP FARM
I want to eat a XXXXX salad,XXXXX SALAD EAT ME WANT
My favorite class is science,MY FAVORITE CLASS WHAT SCIENCE
If it is snowing you should drive slowly,IF SNOW DRIVE SLOW YOU SHOULD
I love the smell of the flowers in the spring,SPRING FLOWERS SMELL ME LOVE
I have a new XXXXX mother,NEW XXXXX MOTHER ME HAVE
Do you want to put sugar in your coffee,YOUR COFFEE SUGAR PUT-IN YOU WANT
Would you like a cup of tea,CUP TEA YOU WANT
I have a fake tooth,FAKE TOOTH ME HAVE
I plan to ski in the winter,WINTER SKI ME PLAN
My son is not happy I bought the wrong XXXXX,MY SON NOT HAPPY WHY WRONG XXXXX ME BUY
The XXXXX store has workers,P-E-T STORE WORKERS
I ate an egg with toast for breakfast,BREAKFAST EGG TOAST ME EAT FINISH
I collect shiny pennies,SHINY PENNIES ME COLLECT
I am looking forward to summer because I can ride my bike,SUMMER ME LOOK-FORWARD WHY RIDE-BIKE
My daughter takes dance lessons every Saturday morning,EVERY SATURDAY MORNING DANCE LESSONS MY DAUGHTER TAKE
Do you want to walk to the store to buy ice cream,STORE YOU WANT WALK BUY ICE CREAM
I can't wait for my vacation so I can relax,MY VACATION ME CAN'T WAIT WHY ME CAN RELAX
I drink 8 glasses of water everyday,EVERYDAY 8 GLASSES WATER ME DRINK
I save money at the grocery store by using XXXXX,GROCERY STORE ME SAVE MONEY HOW USE XXXXX
Our teacher requires me to be early to class,CLASS ARRIVE EARLY MY TEACHER REQUIRES
Can you order me a cheeseburger,CHEESEBURGER ORDER FOR ME CAN YOU
Your idea is absurd,YOUR IDEA ABSURD
I eat one apple a day,EVERYDAY DO-DO ME EAT ONE APPLE
I am terrible at archery,ARCHERY ME TERRIBLE
My son plans to join the armed forces after high school,FINISH H-S ARMED FORCES JOIN MY SON PLANS
The soccer team lost but they still had a good attitude,SOCCER TEAM XXXXX LOST DOESN'T MATTER STILL GOOD ATTITUDE
I like bacon and eggs for breakfast,BREAKFAST BACON EGGS EAT ME LIKE ME
I love to bake chocolate XXXXX cookies,CHOCOLATE XXXXX COOKIES BAKE ME LOVE
We had a big barbecue on the 4th of July,JULY FOURTH BIG XXXXX WE HOST
We saw a big black bear and her two XXXXX in the woods yesterday,YESTERDAY WOODS BIG BLACK BEAR HER TWO XXXXX WE SAW
My uncle always has a gray beard,GRAY BEARD MY UNCLE ALWAYS HAS
I just bought a blueberry candle,RECENTLY BLUEBERRY CANDLE ME BUY
You have to take a boat to get to XXXXX Island,XXXXX ISLAND GO-TO HOW BOAT MUST YOU
Sometimes people think the deaf use braille but that is not true only blind people use braille,SOMETIMES PEOPLE THINK DEAF PEOPLE USE BRAILLE NO ONLY BLIND PEOPLE USE BRAILLE
I eat XXXXX for breakfast everyday,EVERYDAY BREAKFAST XXXXX EAT ME
My car broke down on the bridge,BRIDGE MY CAR BROKE-DOWN
Look at all the beautiful butterflies,BEAUTIFUL BUTTERFLIES LOOK-AT
I bought a new camera before my vacation,BEFORE VACATION NEW CAMERA BOUGHT ME
I work as a camp counselor every summer,EVERY SUMMER CAMP COUNSELOR ME WORK
I have many candles in my house,MY HOUSE MANY CANDLES HAVE
Teaching my kids to help other people builds good character,MY KIDS ME TEACH HELP HELP OTHER PEOPLE WHY DEVELOPS GOOD CHARACTER
There is no gum chewing in class,CLASS CHEW-GUM NOT ALLOW
What color is your new car,YOUR NEW CAR COLOR WHAT
The kids like to eat crackers and cheese,CRACKERS CHEESE KIDS LIKE EAT
I am more productive when my desk is clean,MY DESK CLEAN ME MORE PRODUCTIVE
Detectives investigate crime,DETECTIVES DO-DO INVESTIGATE CRIME
Everyone should own a good dictionary,GOOD DICTIONARY EVERYONE SHOULD #OWN
I have a Bachelor's degree in physics,MY #BA DEGREE MAJOR WHAT PHYSICS
Yesterday I saw a bald eagle outside my window,YESTERDAY HAPPEN WHAT WINDOW ME LOOK SEE EAGLE
My family is going to grandma's house for Easter,EASTER GRANDMA'S HOUSE MY FAMILY GO-TO
The elevator got stuck on the 3rd floor,THIRD FLOOR ELEVATOR STUCK
I have no energy I need to eat,ME NEED EAT WHY ME HAVE NO ENERGY
I have no energy,ME HAVE NO ENERGY
I need to eat,ME NEED EAT
My best friend has one blue eye and one brown eye,ONE BLUE EYE ONE BROWN EYE MY BEST FRIEND HAS
XXXXX is a famous Deaf Actress She won an XXXXX for her role in the movie XXXXX,XXXXX SHE FAMOUS DEAF ACTRESS SHE WON XXXXX FOR HER ROLE MOVIE QUOTE CHILDREN XXXXX
My cat likes to chase frogs,CHASE FROGS MY CAT LIKES
My friends and I had fun at the baseball game,BASEBALL GAME MY FRIENDS ALL-OF-US HAD FUN
We put in a garden every summer,EVERY SUMMER GARDEN WE PLANT
My father plays golf every morning,EVERY MORNING MY FATHER PLAY GOLF
To be successful it helps to have good grammar,YOU WANT SUCCESS IMPORTANT HAVE GOOD GRAMMAR
My niece got a pink guitar for Christmas,CHRISTMAS MY NIECE GOT WHAT PINK GUITAR
Halloween is scary,HALLOWEEN SCARY
It is important to have a good handshake,GOOD HANDSHAKE IMPORTANT
I heard XXXXX is having heart problems,HEART PROBLEMS XXXXX HAS ME HEARD
I always eat hot dogs at baseball games,BASEBALL GAMES HOT DOGS ME ALWAYS EAT
My grandfather used to hunt for deer,LONG TIME AGO MY GRANDFATHER DEER HE HUNT
My favorite flavor of ice cream is butter XXXXX,ICE CREAM MY FAV FLAVOR WHAT BUTTER XXXXX
Today is World Kindness Day,TODAY WHAT WORLD KINDNESS DAY
My dad always kisses my mom bye,MY DAD KISS MY MOM BYE ALWAYS
I laughed and laughed during the movie because it was funny,ME LAUGH WHY MOVIE FUNNY
The teacher has a loud voice,TEACHER HIS VOICE LOUD
Can you meet me for lunch,LUNCH MEET ME CAN YOU
I need to measure the room before I buy XXXXX,BEFORE XXXXX ME BUY ROOM MEASURE ME NEED
The army captain was awarded 3 medals,ARMY CAPTAIN HONORED 3 MEDALS
We saw Mickey Mouse on our trip to Florida,XXXXX TRIP WE SAW WHO MICKEY MOUSE
I like to eat microwave popcorn for a XXXXX,XXXXX ME LIKE EAT WHAT MICROWAVE POPCORN
I made a huge mistake,BIG MISTAKE ME
The moon is bright tonight,TONIGHT MOON BRIGHT
I enjoy visiting Tennessee because of their beautiful mountains,XXXXX ME ENJOY VISIT WHY BEAUTIFUL MOUNTAINS
Please shave your mustache,YOUR MUSTACHE PLEASE SHAVE
My neighbor has 8 children and 4 dogs,8 CHILDREN 4 #DOG MY NEIGHBOR HAS
My friend XXXXX lives in a posh neighborhood,MY FRIEND XXXXX SHE LIVE POSH NEIGHBORHOOD
My dream is to live near the ocean,MY DREAM WHAT LIVE NEAR OCEAN
XXXXX is a deaf swimmer from South Africa He won the silver medal in the Olympics,XXXXX HIMSELF FAMOUS DEAF SWIMMER FROM SOUTH AFRICA OLYMPICS SILVER MEDAL HE WON
I bought my kids new pajamas for Christmas,CHRISTMAS NEW PAJAMAS ME BOUGHT MY KIDS
I buy colorful paper clips,COLORFUL PAPER CLIPS ME BUY
I will go to my parent's house for dinner,MY PARENTS HOUSE DINNER GO WILL ME
Our country needs peace,OUR COUNTRY NEEDS WHAT PEACE
The best time of year to buy peaches is during the summer,BEST TIME YEAR BUY PEACHES WHEN SUMMER
We have several pear trees,PEAR TREES WE HAVE SEVERAL
My daughter's bedroom is pink and white,MY DAUGHTER HER BEDROOM PINK WHITE
I love pizza,PIZZA ME LOVE
Men in the south tend to be very courteous,MEN LIVE SOUTH TEND-TO COURTEOUS
I XXXXX was the first Deaf President of Gallaudet University,ME XXXXX HIMSELF FIRST DEAF PRESIDENT GALLAUDET UNIVERSITY
I have committed myself to training for the Boston XXXXX,BOSTON XXXXX TRAIN ME COMMIT
My XXXXX is 6 months old,MY XXXXX OLD 6-MONTHS
My bedroom is purple,MY BEDROOM COLOR WHAT PURPLE
Will you turn up the radio please,RADIO YOU TURN-UP PLEASE
There was a pretty rainbow after the rain showers,RAIN FINISH PRETTY RAINBOW
My XXXXX rat's name is XXXXX,MY XXXXX RAT NAME WHAT XXXXX
I volunteer with the Red Cross once a month,ONCE MONTH RED CROSS ME VOLUNTEER
Can you write a poem that XXXXX,POEM XXXXX WRITE CAN YOU
My mother's favorite flower is a rose,MY MOTHER HER FAVORITE FLOWER WHAT ROSE
My mom will make me peanut butter and XXXXX sandwiches for lunch,LUNCH PEANUT BUTTER XXXXX SANDWICHES MY MOM MAKE WILL
Santa loves hot chocolate and cookies,SANTA LOVES HOT CHOCOLATE COOKIES
You can't put a price on freedom,FREEDOM HAVE PRICE NONE
I just bought a new plaid shirt,RECENTLY NEW SHIRT PLAID ME BUY
My parents live in a senior citizen community,MY PARENTS LIVE WHERE SENIOR CITIZEN COMMUNITY
Simple XXXXX are the best because you don't have to buy many ingredients,SIMPLE XXXXX BEST WHY MANY INGREDIENTS NOT HAVE-TO BUY
The soldiers went to Washington DC today for a special memorial ceremony,TODAY WASHINGTON DC SOLDIERS GATHER WHAT FOR SPECIAL MEMORIAL CEREMONY
I want soup and salad for lunch,LUNCH SOUP SALAD ME WANT
We are having spaghetti and XXXXX for dinner,DINNER SPAGHETTI MEAT XXXXX WE HAVE
My father's side of the family is hispanic,MY FATHER HIS FAMILY STRONG HISPANIC
Michigan has black squirrels,XXXXX HAS WHAT BLACK SQUIRRELS
Would you like a straw in your drink,YOUR DRINK STRAW YOU WANT
For supper we're going to have spaghetti and XXXXX,SUPPER WHAT SPAGHETTI MEAT XXXXX
At the party there were ten cookies left so I took two,PARTY TEN COOKIES LEFT ME TOOK TWO
Where are you going for Thanksgiving dinner,THANKSGIVING DINNER YOU GO WHERE
I need black thread to sew my dress,MY DRESS SEW BLACK THREAD ME NEED
Would you like a slice of tomato on your sandwich,YOUR SANDWICH TOMATO YOU WANT ADD
The adoption process takes a lot of time,ADOPTION PROCESS TAKES A LOT TIME
It's about time I finished this project,PROJECT FINISH ABOUT TIME
I want to ask you another question,ME HAVE ANOTHER QUESTION FOR YOU
I enjoy going to art XXXXX,ART XXXXX GO-TO ME ENJOY
I enjoy biking in the autumn,AUTUMN BIKING ME ENJOY
I need batteries for my new toy,MY NEW TOY BATTERY ME NEED
I'm excited I bought a new bike,ME EXCITED WHY NEW BIKE ME BOUGHT
Every year my boss gives me one hundred dollars for Christmas,EVERY YEAR CHRISTMAS MY BOSS GIVE ME ONE HUNDRED DOLLARS
I started my own business,BUSINESS MY OWN START ME
My grandma bakes cherry pie for my birthday,FOR MY BIRTHDAY CHERRY PIE MY GRANDMA BAKES
Who wrote the Constitution,CONSTITUTION WHO WROTE
I'm wearing a halloween costume to the party,PARTY ME GO-TO HALLOWEEN COSTUME ME WEAR
I wish I could go to Florida now,XXXXX GO-TO NOW ME WISH ME COULD
XXXXX is one of my favorite customers,ONE OF MY FAVORITE CUSTOMERS WHO XXXXX
XXXXX is a fast runner,FAST RUNNER WHO XXXXX
The homemade bread was delicious,HOMEMADE BREAD DELICIOUS
When I was a Girl Scout I learned how to build a fire,LONG TIME AGO ME SMALL ME GIRL SCOUT FIRE LEARN HOW-TO BUILD
My cat's favorite food is XXXXX,XXXXX MY CAT FAVORITE FOOD
Don't forget to bring a pencil to class tomorrow,TOMORROW CLASS DON'T FORGET BRING PENCIL
My least favorite class in school is geography,GEOGRAPHY MY LEAST FAVORITE CLASS
My goal is to finish my homework before class,MY GOAL WHAT COMPLETE HOMEWORK BEFORE CLASS
Stories about our ancestors are an important part of our heritage,IMPORTANT SHARE STORIES WITH CHILDREN WHY OUR HERITAGE CHERISH
My mechanic is popular because he is honest,MY MECHANIC POPULAR WHY HONEST
My grandma likes to hug everybody,EVERYBODY MY GRANDMA LIKES HUG HUG HUG
XXXXX movies are always humorous,XXXXX HER MOVIES ALWAYS HUMOROUS
Next week I'm going to a workshop on self improvement,NEXT WEEK ME GO-TO WORKSHOP QUOTE SELF IMPROVEMENT
The United States presidential inauguration is a ceremony to recognize a new president,XXXXX PRESIDENT INAUGURATION FOR-FOR RECOGNIZE NEW PRESIDENT
The novelist traveled through Europe looking for inspiration for her next novel,EUROPE WRITER TRAVEL WHY NEED INSPIRATION FOR HER NEXT BOOK
Do you know any good jokes,GOOD JOKE YOU KNOW ANY
My two cats look alike,MY TWO CATS LOOK ALIKE
The baseball just barely missed me,BASEBALL BALL BARELY MISS ME WHIZZ-BY
My daughter can climb a tree like a monkey,TREE CLIMB SAME-AS MONKEY MY DAUGHTER CAN
I want to play outdoors,PLAY OUTDOORS ME WANT
I am allergic to peanuts,PEANUTS ALLERGIC ME
Can I look at your wedding photographs,YOUR WEDDING PHOTOGRAPHS LOOK-AT CAN ME
I like watching people play the piano,PIANO PEOPLE PLAY WATCH ME ENJOY
My plumber is short and bald,MY PLUMBER LOOK-LIKE WHAT SHORT BALD
I am going to try to preserve my wedding gown,MY WEDDING DRESS ME TRY PRESERVE
I enjoy carving Halloween pumpkins,HALLOWEEN PUMPKINS CARVE ENJOY ME
American Sign Language was recognized as a true language in 1965,YEAR 1965 ASL RECOGNIZED TRUE LANGUAGE
My sister has red hair,MY SISTER COLOR HAIR WHAT RED
I'm sorry I didn't catch what you said Can you please repeat yourself,SORRY ME NOT UNDERSTAND YOU PLEASE REPEAT
It is your right to a free and appropriate education,FREE APPROPRIATE EDUCATION YOU HAVE RIGHT
Your answer is right,YOUR ANSWER RIGHT
The bank near my house was robbed two times,TWICE BANK NEAR MY HOUSE ROB
I run every week,EVERY WEEK ME RUN
The security guard at the bank is scary looking,BANK SECURITY GUARD LOOKS SCARY
I gave my mother a new sewing machine for her birthday,MY MOTHER BIRTHDAY NEW SEWING MACHINE ME GAVE
I have been under a lot of stress recently,LATELY STRESS ME
I gave my sweetheart flowers,FLOWERS MY SWEETHEART ME GIVE
I enjoy using technology to help people,TECHNOLOGY ME ENJOY USE WHY HELP PEOPLE
I can't believe how expensive my telephone was,MY TELEPHONE EXPENSIVE ME CAN'T BELIEVE
My brother always finds good XXXXX because he is thrifty,GOOD XXXXX MY BROTHER ALWAYS FIND WHY HE THRIFTY
My new XXXXX is not potty trained yet,MY NEW XXXXX POTTY TRAINED NOT YET
My vision is bad I need new glasses,NEW GLASSES ME NEED WHY MY VISION BAD
It's raining outside so you should bring your umbrella,OUTSIDE RAINING UMBRELLA BRING YOU SHOULD
Merry Christmas and a Happy New Year,MERRY CHRISTMAS HAPPY NEW YEAR
Many people in third world countries experience hunger,THIRD WORLD COUNTRIES MANY PEOPLE HUNGRY
Chemistry is my favorite class in school,SCHOOL MY FAVORITE CLASS WHAT CHEMISTRY
I want a can of pop,CAN POP ME WANT
My family went XXXXX picking last weekend,LAST WEEKEND XXXXX PICKING MY FAMILY GO
Yesterday I accidentally left my bag in the grocery cart,YESTERDAY ME ACCIDENTALLY LEFT MY BAG WHERE FOOD-STORE CART
My library has XXXXX story time every month,EVERY MONTH MY LIBRARY HAVE WHAT XXXXX STORY TIME
My uncle has a turkey farm,TURKEY FARM MY UNCLE HAS
Do you want to build a snowman,SNOWMAN YOU WANT BUILD
I was the fourth person chosen for the soccer team,SOCCER TEAM ME FOURTH PERSON CHOSEN
I love peanut butter with XXXXX,PEANUT BUTTER WITH XXXXX ME LOVE
My family goes to the strawberry farm every summer,EVERY SUMMER STRAWBERRY FARM MY FAMILY GOES-TO
XXXXX showers bring XXXXX flowers,XXXXX RAIN XXXXX FLOWERS GROW GROW GROW
We planted a tree in the front XXXXX yesterday,YESTERDAY FRONT XXXXX TREE WE PLANT
I am lucky to have a very big XXXXX,BIG BATH XXXXX ME HAVE LUCKY ME
The heat is awful today I need to turn on the air conditioner,TODAY HEAT AWFUL #AC TURN ON ME NEED
I have different fish,DIFFERENT FISH ME HAVE
You should wear a tie to the business meeting,BUSINESS MEETING TIE YOU SHOULD WEAR
I love to wear flip flops in the summer,SUMMER FLIP-FLOP WEAR ME LOVE
I did not like visiting Washington DC because there was too much traffic,WASHINGTON DC VISIT ME DIDN'T-LIKE WHY TOO MUCH TRAFFIC
We visited a lighthouse on our vacation last week,LAST WEEK OUR VACATION LIGHTHOUSE WE VISIT
I really like to fish with my dad,FISHING WITH MY FATHER ME ENJOY
I love to read poetry every night before bed,EVERY NIGHT BEFORE BED POETRY ME LOVE READ
I had a conversation with my neighbor yesterday,YESTERDAY MY NEIGHBOR CONVERSATION
My neighbor is nice,MY NEIGHBOR SHE NICE
XXXXX is famous for having hurricanes,XXXXX FAMOUS WHAT HURRICANES
You are learning sign language,YOU LEARN WHAT SIGN LANGUAGE
Happy Valentine's Day,HAPPY VALENTINE'S DAY
Do you have a dollar bill,DOLLAR YOU HAVE
My grandmother bought me new underwear for Christmas,CHRISTMAS NEW UNDERWEAR MY GRANDMOTHER BOUGHT ME
My aunt was an American Indian,MY AUNT HERSELF AMERICAN INDIAN
We ate at an Italian restaurant for my birthday celebration,MY BIRTHDAY CELEBRATION EAT WHERE ITALIAN RESTAURANT
After my long vacation all of my plants had died,LONG VACATION FINISH HAPPEN WHAT MY PLANT PLANT PLANT DIED
I take my cell phone everywhere,MY CELL PHONE ME BRING EVERYWHERE
Do you know our national anthem,OUR NATIONAL ANTHEM YOU KNOW
My dad writes with his right hand and throws with his left hand,MY DAD RIGHT HAND WRITE LEFT HAND THROW
My mom teaches kindergarten,KINDERGARTEN MY MOM TEACH
We learn about Abraham Lincoln today in history class,TODAY HISTORY CLASS WE LEARN ABOUT WHO ABRAHAM LINCOLN
XXXXX is a famous Deaf actor and comedian He says Anything is possible Success has nothing to do with being deaf or black or any disability It has to do with your passion to do greater things in life,XXXXX HIMSELF FAMOUS DEAF ACTOR AND COMEDIAN HE SAYS QUOTE ANYTHING POSSIBLE NOTHING RELATED-TO DEAF BLACK DISABLED ABOUT HAVING PASSION DO WONDERFUL THINGS LIFE
My friend and I like to swap good books with each other,GOOD BOOKS MY FRIEND TWO-OF-US LIKE TO SWAP
It is important that you vote for the new US President,NEW U-S PRESIDENT IMPORTANT YOU VOTE
My best friend lives in California,MY BEST FRIEND LIVES WHERE CALIFORNIA
I am the vice president of my tennis XXXXX,MY TENNIS XXXXX ME VICE PRESIDENT
I made a pledge to my family to exercise more,MY FAMILY PLEDGE ME WHAT EXERCISE MORE WILL ME
My daughter joined the XXXXX last month,LAST MONTH XXXXX MY DAUGHTER JOIN
My son volunteers every week at the animal XXXXX,EVERY WEEK ANIMAL XXXXX MY SON VOLUNTEER
There are too many mosquitos when I camp in the wilderness,WILDERNESS ME CAMP TOO MANY MOSQUITOS
My sister is such an amazing athlete she plays soccer and basketball,MY SISTER AMAZING ATHLETE SOCCER BASKETBALL SHE PLAYS
What XXXXX do I need to fix the bike seat,BIKE SEAT #FIX WHICH XXXXX ME NEED
What kind of soft drink would you like Coke or Pepsi,SOFT DRINK WHICH YOU PREFER COKE PEPSI WHICH
Don't forget to put a stamp on the envelope,ENVELOPE STAMP DON'T FORGET
I hate XXXXX movies,XXXXX MOVIES ME HATE
My brother fell off his skateboard and broke his wrist,SKATEBOARD MY BROTHER FALL WRIST BROKE
XXXXX is a radio host He is deaf but uses cochlear implants to hear,XXXXX HIMSELF RADIO HOST HE DEAF BUT HAVE COCHLEAR IMPLANT
I lost a sock in the laundry,LAUNDRY SOCK LOST ME
I love books so growing up I always wanted to become a librarian,GROW-UP ME ALWAYS WANT BECOME LIBRARIAN WHY ME LOVE BOOKS
Happy New Year,HAPPY NEW YEAR
I play tennis every Friday with 3 women,EVERY FRIDAY TENNIS ME PLAY WITH 3 WOMEN
I could eat pasta for breakfast lunch and dinner,BREAKFAST LUNCH DINNER PASTA EAT ME COULD
I love eating pretzels dipped in chocolate,XXXXX CHOCOLATE DIPPED ME LOVE EAT
I want cupcakes for my birthday not a cake,MY BIRTHDAY XXXXX ME WANT NOT CAKE
The police caught the thief hiding in his car,THIEF POLICE CAUGHT WHERE HIDING IN HIS CAR
I will go to three graduation parties in June,XXXXX THREE GRADUATION PARTIES GO-TO GO-TO GO-TO ME WILL
My favorite XXXXX is XXXXX,MY FAVORITE XXXXX WHAT XXXXX
Mother's Day is on Sunday,SUNDAY MOTHER'S DAY
Today is Fathers Day,TODAY WHAT FATHERS DAY
I like to eat my donuts with coffee,MY DONUTS ME LIKE EAT WITH COFFEE
I reached for the pitcher on the top shelf,PITCHER TOP SHELF ME REACHED
Please wash your hands before dinner,BEFORE DINNER WASH HANDS PLEASE
My family always has a picnic on Memorial Day,MEMORIAL DAY PICNIC MY FAMILY ALWAYS HOST
"I like to watch the movie ""Elf"" on Christmas Eve",CHRISTMAS XXXXX MOVIE QUOTE E-L-F WATCH ME LIKE
Labor Day means summer is over,LABOR DAY MEANS WHAT SUMMER ENDS
I hate shopping on Black Friday,BLACK FRIDAY SHOPPING ME HATE
I enjoy shopping on Cyber Monday,XXXXX MONDAY SHOPPING ME ENJOY
My school celebrates Earth Day by planting trees,EARTH DAY MY SCHOOL CELEBRATE HOW PLANT TREES
Are you going to the XXXXX Day parade,XXXXX DAY PARADE YOU GO
Are you going to a party on New Year's XXXXX,NEW YEARS XXXXX PARTY YOU GO
Flag Day honors our flag,FLAG DAY MEANS WHAT HONOR OUR FLAG
On Election Day many schools close,ELECTION DAY MANY SCHOOLS CLOSE
President's Day is in XXXXX,PRESIDENT'S DAY WHEN XXXXX
I always drink green beer on St Patrick's Day,ST PATRICK'S DAY GREEN BEER ME DRINK ALWAYS
I have six siblings and I am the oldest,SIX SIBLINGS ME HAVE ME OLDEST
We planted the corn field,FIELD XXXXX WE PLANT PLANT PLANT
I like brown sugar on my sweet potato,MY SWEET POTATO BROWN SUGAR SPRINKLE ME LIKE
XXXXX is National Blueberry Popsicle Month,NATIONAL BLUEBERRY POPSICLE MONTH WHEN XXXXX
The coach encouraged me to join the basketball team,BASKETBALL TEAM COACH ENCOURAGED ME JOIN
